Row ID,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
2100,DE,,,no,,,229.1,,,,79,,,,,,4,,3,0
2101,,,510,,,42,,,28.1,,118,,260.8,72,11.74,7.6,,,3,0
2102,VA,,415,no,,,,,29.17,205,,17.43,,,,,4,,0,0
2103,ID,,,yes,yes,17,225.2,116,,173.4,88,,,,6.56,11.7,,3.16,0,0
2104,,117,,,no,,226.5,,38.51,,,12.04,223,,,,,,,0
2105,NY,,,no,no,,,,,,,16.41,,,,,,,,0
2106,DE,78,,no,no,,139.2,140,23.66,191.4,,16.27,286.5,125,,11.8,,,,0
2107,WV,,415,,,,,,,197.5,68,16.79,209.5,,9.43,9.5,,2.57,,0
2108,LA,,408,,,,,,,,,,,,11.87,5.1,7,1.38,,0
2109,,,,,,40,,,,,99,,67.1,,3.02,,,,,0
2110,MD,,415,no,,0,155.7,116,,173.7,63,14.76,,,11.58,8.1,4,,0,0
2111,,59,408,,,0,,113,,,,,217.5,,,9.9,,2.67,2,0
2112,MS,13,415,,,,,133,,,,14.49,,,10.24,11.5,3,3.11,,1
2113,,,,,,,180.7,,,187.8,,,,,11.95,12.6,3,,3,0
2114,,45,,no,no,,,,,253.4,,,,,11.48,18,3,,,0
2115,NH,120,510,,yes,,,117,,175.1,70,,,117,,,4,,,0
2116,AL,,,yes,no,,127.3,80,,,,18.9,173.9,95,7.83,,,,,1
2117,MD,120,,,,,200.3,,34.05,220.4,,18.73,,,11.42,,4,,,0
2118,,144,,,yes,,174.8,127,,219.6,93,,,,11.51,,3,3.46,,0
2119,,,,,,,,,38.54,,129,,,117,8.49,,,,,0
2120,LA,111,415,,yes,28,,,,,52,13.37,,76,6.63,10.3,,,,0
2121,,80,415,,,38,236.6,69,40.22,,,16.79,209.5,,,,10,,2,0
2122,AR,,,no,,0,157.6,117,,184.3,,15.67,,99,10.82,,,,0,0
2123,,,408,yes,,,177.1,,30.11,,,,,,6.9,8.8,4,,2,0
2124,,,,,no,,,,,,,,252.3,137,11.35,9.5,,2.57,,0
2125,,209,415,,no,,227.2,128,38.62,,,,183.5,74,8.26,8.9,,,3,0
2126,NV,,415,no,no,,239.2,,40.66,150,115,12.75,160.8,81,7.24,10.3,2,,5,0
2127,,,,no,yes,,246.6,,41.92,,112,12.02,,109,,13,5,,,0
2128,,,408,,,,,,,,,,198.5,103,,10.2,,,,0
2129,MD,136,,,no,0,,,42.91,,,14.27,,,,10.7,,,2,0
2130,,,,,,,,,,233.3,,19.83,204.4,,9.2,,,,3,0
2131,MA,,,,,,241.2,134,,116.5,,,152.2,,6.85,,4,,,0
2132,NH,103,,,no,,150.6,125,25.6,169.1,126,,,,,,8,,,1
2133,,138,,no,,37,,102,,173.6,,,,96,,,,2.21,,0
2134,,,,no,,,194.9,,,,,16.29,,129,,13.2,,3.56,2,0
2135,HI,,,no,yes,40,,127,40.07,223,,18.96,,116,,,,,,0
2136,,,510,yes,,,,54,,215,105,,234.3,,,,,,,0
2137,,65,,,no,,182.5,58,31.03,201.9,,,,,,8.6,,,1,0
2138,,,510,,,,,109,27.03,,142,,82.4,,3.71,,,,0,0
2139,,34,,,no,,,,30.7,280.4,,23.83,292.4,,,5,,1.35,1,0
2140,,,,no,,,,,,,125,7.51,195.3,,,12.9,,,,0
2141,MA,90,,no,no,0,,,,,,,,,,12.2,,3.29,2,0
2142,,50,415,,no,,,,,127.4,,,,,,,,2.59,,0
2143,SC,,,no,no,,222.5,,,,75,,,,11.89,9,3,,2,0
2144,,,408,,,,,,,240.2,96,20.42,158.6,108,7.14,6.7,,1.81,1,0
2145,LA,,415,,,,,104,21.9,157.3,52,,,,6.63,10.3,,2.78,,0
2146,MD,,415,,no,0,,98,39.97,,,21.4,285.9,,12.87,,,1.94,,1
2147,,,,no,yes,39,,107,,,,21.57,,85,5.79,,3,,,0
2148,AL,,510,no,no,,189.4,,32.2,,89,18.62,,,,,,1.92,,0
2149,AL,,415,no,,,217.8,,,,,,,91,8.22,10.4,5,2.81,,0
2150,,136,,,no,0,,,39.59,191,,16.24,,59,10.01,,3,,,0
2151,TN,,408,no,,,,145,,,116,21.17,,,,7.1,,,,0
2152,,,,,,0,190.4,,32.37,,,,,92,,,4,3.02,2,0
2153,,50,415,yes,,26,,,52.21,289.4,78,,,109,,8,,2.16,,0
2154,,102,,,,0,233.8,103,,,131,,146.9,,,12.8,,,,0
2155,,,,,,0,,,33.64,,113,21.34,138.3,,6.22,,2,,,0
2156,,39,,,,,,,,,116,,104.7,,,13.2,,,,0
2157,KS,,,,no,,231.5,82,,,97,,,,9.49,,,2,1,0
2158,,93,415,,,0,190.2,,32.33,,,,130,,5.85,,,2.38,0,0
2159,,,,no,,0,,,33.25,245,,20.83,,,4.71,13.2,,3.56,,0
2160,,137,,,yes,,,,,241.3,146,20.51,,109,,,,,,0
2161,,16,,,,0,,,,205.7,,,,91,7.48,,2,2.92,0,1
2162,,,,no,,,295.4,126,,232.1,117,,,,,,2,,1,1
2163,WV,,,no,,,,,,67,62,,160.4,121,7.22,,,2.67,3,0
2164,NE,,,no,no,0,,94,33.71,279.3,,23.74,146.2,87,,,,,,0
2165,,70,,yes,,0,226.7,,38.54,228.1,,19.39,,93,,,,,,1
2166,MS,,415,,,,,,,,124,,,81,,10,,,3,0
2167,,,,,no,,288.1,,,,,,192.4,,,,4,,3,1
2168,,,415,,,,193.7,74,,,,10.79,,,9.95,,,2.38,,0
2169,,,,,yes,,237.2,,40.32,,,,192.7,87,,,,2.89,,0
2170,,,,,no,,,59,,,131,,,121,,,,,2,0
2171,MA,80,,no,,,148.6,,,210.8,65,,203.7,,,,,,,0
2172,,,,,no,,314.6,,53.48,,86,,285.1,,12.83,5.7,,,,1
2173,,,,,no,0,221,100,,,,,233.1,96,,6.8,,1.84,,0
2174,WA,134,408,,no,,,86,,,,,,,,12.6,,,,0
2175,AZ,,,no,,,271.6,,,229.4,,19.5,,,,10.9,,,,0
2176,CT,,,,,,,,,,,10.21,,86,9.72,,5,2.78,,1
2177,,,510,,,,73.3,,,,82,,,,,,,,,1
2178,,,408,,no,,,,,,89,18.14,,,,,11,2.05,1,0
2179,,149,510,no,,,207.3,,35.24,,,,114.1,,,,,,1,0
2180,SD,60,,,,43,179.9,100,,245.1,,,225.7,114,,,4,3.08,,0
2181,MO,6,,,,,,117,,256.7,,,,79,,,2,,,0
2182,,147,,,,38,243.4,126,,,,,,,,,,,2,0
2183,,88,,no,,0,142.2,107,,262.4,,22.3,139.2,99,,10.1,,,,0
2184,SD,104,,,no,,,128,39.81,293.1,,,,,8.28,9.8,6,,,1
2185,,84,,,no,,,,,236,,,,,,,,2.54,,0
2186,,,,,yes,41,,,,137.3,,11.67,115.7,,5.21,,,,1,0
2187,,,,,,,199.9,64,,,,11.44,,,9.47,,,3.16,3,0
2188,AL,,,,,0,,,39.25,187.4,90,,154,,,,,1.7,0,0
2189,,124,415,,,0,,,32.98,,116,20.49,,153,,11.9,,3.21,0,0
2190,,,,no,yes,,,,33.78,,,,,,,12.5,,3.38,,0
2191,DE,106,415,no,no,0,128.6,,21.86,,,,,,,11.4,,3.08,,0
2192,,124,,,no,0,,,53.04,,,,,,,,,3.46,,1
2193,OH,,,,no,0,,,31.18,,115,,201.4,100,,,,2.03,,0
2194,,,408,,,,135.7,111,23.07,223,,,,,,9.5,,,,0
2195,,,,no,yes,38,,,,,,,,79,,,8,,,0
2196,CT,123,415,,no,,,,21.88,,,,198.4,132,,,,,0,0
2197,NJ,,408,,,0,,94,23.87,,92,23.1,,108,,11.1,9,3,,0
2198,LA,,,no,,39,,,36.4,,,,189.7,,,,,,1,0
2199,,,,,,0,179.5,,30.52,191.9,,16.31,165.5,,,12,4,3.24,,0
2200,,,415,,yes,23,153.6,93,,,88,,161.3,,,,,,,0
2201,,,,,,,174.4,,29.65,169.9,80,14.44,,130,,,4,2.97,,0
2202,,179,,,no,0,170.7,54,29.02,,,16.24,,107,9.66,,,3.59,,0
2203,KY,108,,,,,,,,,,,,,,,7,,,0
2204,MT,,,no,,0,,,32.95,118.9,,10.11,,,,,3,,,0
2205,,,,no,no,0,,,,,86,,,,4.23,6.4,,1.73,1,0
2206,NH,,,no,,,,,54.81,,107,24.07,209.5,,,,,,,1
2207,WY,46,510,yes,yes,27,,73,,184.7,,15.7,,94,5.89,6.1,7,,,0
2208,,73,,no,,0,,102,,,110,,253.4,,,,,2.27,2,0
2209,WV,36,,,,,175.1,144,,216.9,69,,,146,10.97,,,,1,0
2210,,,,no,,0,226,,,304.6,,25.89,181.2,,8.15,,,3.4,,1
2211,,,,,yes,,,,35.87,155.1,89,13.18,234.8,,,,,3.08,,0
2212,ME,,,,,,,133,20.06,,,21.09,214.4,122,9.65,5.3,,,,0
2213,OR,,510,,,0,,78,,,,,,106,7.11,,3,,,0
2214,DC,,510,,,0,132.4,,22.51,200.3,110,,,,9.11,,,,,0
2215,,119,415,,,,,97,,,110,,142.4,92,,6.6,8,1.78,1,0
2216,,89,,,no,0,,83,,,,,,,7.64,,,,0,0
2217,CA,,,no,no,,,,31.18,,,,105.2,113,,8.2,,,,0
2218,,53,,,,0,261.2,,,,,,,,,9.8,,2.65,0,1
2219,,90,,no,,,,,16.12,,91,,197.4,65,8.88,,,,,0
2220,OH,137,408,,no,0,,90,,,,,,93,,,2,,,0
2221,,99,510,,,,126.8,,,293.6,115,24.96,,91,,,,2.27,,0
2222,,61,415,,,20,,,,,,13.74,251.4,91,,10.5,,2.84,,0
2223,,,408,,,0,244.6,89,41.58,,80,,,,9.27,,,3.05,,0
2224,NM,,,no,yes,33,174.9,,29.73,248.2,,,164.6,,7.41,,3,,,1
2225,IN,,,,,,,123,,,,14.88,,,8.73,,,,,0
2226,,,,,,31,160.3,,27.25,221.5,,18.83,,109,11.77,5.6,1,1.51,1,0
2227,,146,415,no,,32,,,,,,15.77,,107,6.67,,,2.21,3,0
2228,KY,,408,,,,135,,,,,17.54,210.4,90,,,,5.32,0,0
2229,,88,415,,yes,,,114,49.05,203.4,74,17.29,228.4,117,,,5,,1,0
2230,,,,no,,,165,,28.05,202.6,,,172.3,94,,,,3.38,1,1
2231,,76,,no,,,272.7,,,236.4,95,,,,10.6,,,2.08,,1
2232,,74,,,,,,,33.08,119.9,103,10.19,175.5,75,,,,,,0
2233,,45,,,,32,235,85,39.95,,101,20.44,,88,,7.7,,,,0
2234,ID,,510,yes,,,260.9,,,152.8,123,,212.6,,9.57,,4,,,0
2235,,102,,no,,,,81,,129.4,112,,,,7.54,15.8,,,1,0
2236,PA,77,,no,yes,,149.4,,,,,,,,7.84,,6,,,0
2237,,83,,no,,,221.4,103,37.64,231.8,,19.7,,,,9.8,5,,,0
2238,,94,415,no,yes,,92.7,107,,,86,,,86,,9.9,,,3,0
2239,WV,,408,no,,,235.6,,40.05,,,,,,,,,,,0
2240,,,408,no,,,214.3,,,,,,,,,,,,1,0
2241,SD,,,no,,0,,,,,146,15.81,,,,9.8,1,2.65,,0
2242,,,,no,no,,,,45.54,,143,12.36,,,,,1,4.02,,1
2243,MN,,415,yes,no,,,108,24.43,,111,,,99,,,,,0,0
2244,,,,,,0,159.7,86,,,76,,121.6,,,13.9,,3.75,0,1
2245,,70,510,,,,143.4,,,,92,14.45,127.9,68,,,,,3,0
2246,NC,107,,,,38,,57,34.71,,92,17.5,,,12.89,8.3,,2.24,,0
2247,MA,40,,no,yes,,,,,134.5,81,,,104,5.41,,5,2.03,,1
2248,,61,,no,,,,,,,,22.48,,116,,,,,,0
2249,,,415,,no,,,,,,,,203.8,,,12.8,,,,0
2250,CT,,,,no,0,,,40.09,,69,,,,,,1,,2,0
2251,,90,,no,no,,261.8,,,,104,,136.6,91,,,,2.59,1,0
2252,NH,,,,,,,,11.63,,,16.43,171.5,139,,10.4,,,,0
2253,ND,,,no,,,123.7,,,,,,280.5,127,12.62,,,,,1
2254,HI,,510,,,0,,,38.66,,,22.82,143.3,82,,,,,1,0
2255,MA,,408,,,,302.6,83,,,106,14.2,209.8,,,,,2.81,,1
2256,VT,67,408,no,,,260.4,,,,,17.7,,,,,2,2.7,,0
2257,,,415,,no,,169.1,,28.75,,62,18.68,,,,,8,2.89,,0
2258,,,,,no,0,192.6,,,,118,15.21,214.6,74,,,,2.54,,0
2259,LA,108,,no,,,,,,220.1,,18.71,177.9,,,,,2.65,,0
2260,NE,,,,no,,178.3,,30.31,282.6,,,,98,,11.4,,3.08,,0
2261,,,415,no,,0,230.4,,39.17,257.4,,,107.3,,,8.5,3,2.3,1,0
2262,,136,510,no,no,,259.4,99,,172.7,125,,,,,10.7,,2.89,,1
2263,,110,510,,,0,,92,,,,,,,4.93,,,,,0
2264,,,,,no,,239.9,,,174.8,,14.86,,,9.43,9.8,,,,0
2265,,48,,,yes,22,152,63,25.84,,,22,,,11.84,,,4.24,,1
2266,,,,no,,0,209.6,94,,,,,,,,12.4,4,3.35,,0
2267,,,,,,,,,,215.8,130,18.34,,,,7.8,,,,0
2268,,,415,no,,0,,124,,,,,230.1,76,,8.2,,,1,0
2269,NY,68,,no,yes,,239.5,82,,,,17.32,167.8,,7.55,,6,2.67,,0
2270,AK,52,510,no,no,,,83,,,79,15.44,,104,,8.3,,,,0
2271,,80,,no,,0,,89,25.76,,,,,131,,,4,,0,0
2272,CO,,,,,,131.8,,,,100,,,,,7.7,,,,0
2273,,,,,yes,,193.8,,,,,17.22,191.2,102,,,,,1,0
2274,,,510,,,,,135,,,,,187.3,135,,,7,1.67,2,0
2275,,,415,no,,0,,108,42.65,171.4,,,,,6.69,,6,,,0
2276,DC,130,510,no,,,,81,,,110,,,103,,,,,2,0
2277,SC,,415,no,,,,,,,,,,,9.33,,,,,0
2278,,41,,no,,,,,,,,,261.9,,,,,,1,0
2279,,,415,,no,,,,24.34,,,15.26,171.8,,,,4,,,1
2280,,,510,no,,0,,125,,,,,,,,,,0,2,0
2281,CT,150,,,no,,,77,,,105,,,117,,,,,,0
2282,,,415,,,,,,38.15,159.5,,,,74,,,2,,,0
2283,,,510,no,,,,,,,65,,161.4,,,,5,,,0
2284,,,,no,yes,,,,,,93,12.53,203.5,,,,,3.78,1,0
2285,,,,,yes,,,,33.46,,,,274.7,,,,,3.94,,0
2286,,56,415,no,,0,225.9,,38.4,242,69,,,68,,11.7,,3.16,,0
2287,VA,,,,,,144.9,,24.63,,115,,,73,,,,3.32,,0
2288,NC,,,,no,0,,109,39.87,216.5,,,,94,,,,,3,0
2289,MI,,510,,,0,86.1,,,,,,,102,10.16,9.1,,2.46,,0
2290,,,,,no,,245,112,41.65,,,,262.9,,11.83,,6,,,0
2291,,,415,,,,190.3,,,252.7,,,,,,7.2,,,2,0
2292,,136,,yes,yes,,,106,,,,,,,4.58,10.5,,,3,0
2293,SC,,,,,,,,,172.2,108,,137.5,,,7.1,,,,0
2294,,,408,,no,,,99,,,,,166.6,139,7.5,13.8,1,3.73,1,0
2295,,126,,no,yes,24,,125,10.01,305.5,,,,,,12.1,,,,0
2296,AZ,130,415,,no,,,,31.11,,99,,,,,,19,,0,0
2297,,139,415,no,no,0,,119,30.87,335.7,118,,,64,6.74,8.3,,,,0
2298,,,415,,,,252.9,112,,177.9,99,,,,,8.5,,2.3,,0
2299,AK,103,,,,0,190.9,,32.45,226.6,,,,,,,3,,,0
2300,WI,123,415,,,0,172.2,,,162.6,,,,,,8.7,4,,1,0
2301,HI,146,510,no,,0,189.3,,,,,13.25,186,83,8.37,,3,,,0
2302,,32,415,,no,,164.8,,,,96,,,,,14.8,2,,2,0
2303,,70,,,,,,,,,90,20.05,260.2,,,7.6,,,3,0
2304,TN,59,,no,no,0,160.9,,27.35,251.2,65,,,,,,,,3,0
2305,,,,yes,,0,,,,188.8,,,,114,,11.3,4,3.05,1,0
2306,,,510,,no,,259.7,106,,,116,,,,,,2,2.75,0,0
2307,NH,88,415,,,,,86,,,,,239.4,99,10.77,,2,3.19,,0
2308,AL,,,,no,,,112,,,,,,66,,6.7,,,,0
2309,CO,,,,,23,182.1,,,164.6,,13.99,,,5.8,12.7,4,3.43,,0
2310,,96,,no,no,,170.5,,,277.5,,,,,7.31,,,3.29,1,0
2311,,63,,no,,,,126,,230,,19.55,232.5,,10.46,,,,,0
2312,ID,105,,,,,,96,,253.4,117,21.54,,,,10.5,,2.84,1,0
2313,ME,,,no,,,,116,33.27,,87,17.77,201.1,,9.05,,3,2.24,1,1
2314,,43,415,no,no,0,,,,,,,214.7,,,11.1,2,3,,0
2315,AL,,415,,no,0,181.9,90,30.92,151.5,,12.88,,,,,,2.03,,0
2316,WV,,408,,no,0,,,28.63,,68,,,,9.2,,3,,1,0
2317,,,,,,0,,,,246,,,207.2,,,11.4,9,3.08,,0
2318,,,415,no,,0,242.5,71,,213.3,,,231,,,,,1.7,,0
2319,,,408,no,,19,,,14.91,,,,,112,8.2,,4,,,0
2320,,183,415,,,31,211.9,,,,125,19.07,226.2,125,,,2,,,0
2321,,129,,no,no,0,,,,,96,22.3,98.9,,4.45,,6,,,0
2322,,101,,no,yes,17,,,32.96,,81,,,97,,12.6,,3.4,0,0
2323,DE,,,,,0,,,,220.7,,18.76,225.4,,10.14,,,,2,1
2324,OK,86,,yes,no,,162.4,,27.61,167,,,,,,,2,,2,1
2325,,110,,,no,,227.7,,,170,,,128.7,57,,11.7,5,,,0
2326,OH,110,415,no,,,,,,101.9,,8.66,,,,,6,1.38,0,0
2327,,,415,,yes,,278,,,,65,,,114,,,,,,0
2328,AL,86,415,no,no,0,,121,,197.1,93,16.75,,,6.23,12.2,5,3.29,,1
2329,KY,,,no,no,,,79,,,124,,,138,,,,,,0
2330,SC,,,,,0,212.8,,36.18,189.8,137,,,105,,,,2.86,,1
2331,,59,,,,,,,27.35,,65,,,97,,,,1.35,,0
2332,,,415,no,,,,132,30.04,,80,,176.3,,,,,,,0
2333,,,510,,,0,158.8,,,,,,,,8.52,9.8,4,,2,0
2334,,,,yes,no,0,,,,145,,,,92,,,,1.54,,0
2335,,,,,no,,,,30.31,282.6,,24.02,,,8.15,11.4,4,,,0
2336,,,,,no,,220.8,111,37.54,156.2,,,187.9,89,,,,,2,0
2337,ME,,,no,,,166.3,,28.27,239.3,87,,123.2,,5.54,10,3,2.7,,0
2338,AL,,,no,,,,,,110.1,,,188.7,,8.49,7.1,,1.92,0,0
2339,,43,510,no,no,,159.5,,,,,,,126,,6.8,,,2,0
2340,,,,,,,,,,,51,27.24,150.7,,,4.2,,,0,0
2341,,,415,,,,,,33.86,187.3,12,,,,9.63,,,3.59,3,0
2342,KY,,415,,,,,77,,,117,,264.7,,11.91,13,,3.51,0,0
2343,,,510,yes,,,,,,167.5,109,14.24,212.8,,9.58,,,2.7,,0
2344,,,510,,,,134.2,,,165,71,,173.1,102,,,,2.89,,0
2345,KS,,408,,,0,,,,,85,,100.3,61,,,,,,0
2346,IL,123,,no,,,,,19.52,,,,,,12.09,,4,,2,0
2347,LA,,415,,no,0,,,,249.1,126,,136,,6.12,,,2.92,2,0
2348,,,,yes,,,,47,27.1,,53,22.89,,,,13.7,2,3.7,,1
2349,NC,,415,no,,,,109,39.87,216.5,129,18.4,,,,3.5,,,,0
2350,,,415,no,,,261.3,,44.42,,,,,97,8.07,11.3,,3.05,,0
2351,,,510,yes,,,,,,195.9,,16.65,,,,,,,,0
2352,,130,,,,,176.9,109,,90.7,104,,,,,,2,,1,0
2353,,,,no,,42,199.5,,33.92,,,,184.6,,,,,,,1
2354,,121,415,no,,,,,,,113,22.08,148,79,6.66,,,2.46,2,0
2355,,76,415,no,no,0,,,,,95,,,,,7.7,,,0,1
2356,,,408,,,,,116,,,,16.54,,,,10.9,,,,0
2357,OK,,,,no,0,180.9,79,,,,,,109,8.9,8.8,,2.38,,0
2358,,55,,,,0,,130,,192.7,,16.38,,83,,,4,2.46,,0
2359,,,408,no,no,,,,36.21,,104,,,,,13.5,,,,0
2360,,,,no,,,,104,,,,,,,9.65,,4,2.24,,0
2361,,107,510,,yes,,,87,33.81,,,,,76,7.19,,,3.4,,0
2362,FL,41,,no,,,,95,,,,,,,,5.9,,1.59,,0
2363,,,,no,no,,,79,22.03,246.2,,,,124,,,,2.54,3,0
2364,,118,,,no,,,,19.21,150.1,87,,204.3,,9.19,,4,2.92,,0
2365,,,510,no,,,155.2,,,,,20,,,,,4,2.35,,0
2366,CT,103,,,no,0,160.2,,27.23,,,,312.5,97,,,,,,0
2367,,52,,,yes,21,,,,106.2,,9.03,,,,,3,,,0
2368,,,510,,,,143.2,,,,,7.49,,,10.49,,7,,4,1
2369,,,,no,,0,215.5,129,36.64,,,,207.1,91,9.32,6.6,,,4,0
2370,CA,125,,,no,0,,112,,155.7,126,,,110,11.07,8.3,1,2.24,,1
2371,,,,,,,,,,,,18.39,121.1,,,,,,1,0
2372,,,,,yes,30,,,43.2,,,,,,,6.6,,1.78,,0
2373,NV,177,,no,,,230.2,,39.13,,78,16.67,,,9.69,,,,1,0
2374,,138,415,,,,,116,,,88,,,,,11.7,4,3.16,,0
2375,MN,,415,,,0,198.4,,,210.9,108,17.93,,,8.7,10.4,6,2.81,2,0
2376,,,,,,,230.9,,,223,78,,,101,7.1,9.7,,,,0
2377,,,415,,no,,,88,,,,,,90,,,,3.78,2,0
2378,NC,,,,yes,,,,21.62,162.9,104,,247.4,,,8.1,13,,,0
2379,,,510,,,0,234.1,,,163.1,105,,,,,10,3,2.7,,0
2380,WY,,,,,0,242.2,,41.17,,101,19.22,268.6,,,8.2,,,,1
2381,,,,,,0,,134,17.6,,111,27.14,,124,,8.4,,2.27,2,0
2382,CA,120,510,,no,0,134.8,94,,204.1,,,,,,,,,1,0
2383,,53,510,,,,198.3,,,,,25.86,131.5,,5.92,9.2,5,2.48,2,0
2384,,127,415,no,,0,,,37.16,,130,,,,9.21,9.2,,2.48,,0
2385,,166,,,no,0,,95,,,,,,126,8.91,,5,,,0
2386,,,,no,yes,,,63,25.84,,,,,,,15.7,5,,,1
2387,,,408,no,no,0,,97,,,85,,,99,5.36,,10,1.35,,0
2388,VA,,408,no,,,,,,190.2,,,,,,11.4,,3.08,,0
2389,,74,510,,no,,,,24.43,229.6,110,19.52,98.8,,4.45,,5,,,0
2390,,148,408,,,0,,,,,,16.3,117.8,,,,5,3.62,2,0
2391,,,,,no,0,,,,,,25.58,,68,10.62,11.9,5,3.21,,0
2392,,129,,,no,0,,,,256.9,,,,,,,,,,0
2393,,141,,no,,0,217.1,110,,,,,253.5,103,,,,,,0
2394,,,,yes,no,,267.4,78,45.46,204.2,,,111.7,146,,,4,,,0
2395,,52,,no,,,,63,,,,,,,,13.5,,,1,0
2396,IN,,415,no,,0,,,,228.5,,,,,,,6,,,1
2397,,110,,no,,,,102,9.4,164.7,124,,200.7,108,,,5,,1,0
2398,,,510,no,,36,113.7,117,,157.5,,,,,,10,3,,,0
2399,MA,,,yes,,,199.6,,,,,17.97,,84,,11,4,,,1
2400,,,,no,,10,,91,,,,,,,,,3,,,0
2401,,,,,,34,209.9,,,226.1,,,101.8,,4.58,,2,,,1
2402,NE,82,,no,no,,185.8,,31.59,,134,,192.1,,8.64,,,,4,0
2403,WY,,415,,,,151,83,25.67,219.7,116,,203.9,,,,,,,1
2404,,,415,,,0,,122,29.99,224.9,,,,50,,11.5,,,1,0
2405,,,,,no,,,,29.33,253.1,71,,221.6,,9.97,,6,,0,0
2406,,104,,,no,0,,,,,,11.12,,99,8.18,,,2.84,,0
2407,,,,,no,0,,,,239.7,,,208.8,,,,,2.86,,0
2408,ND,,,no,,31,125.9,,21.4,196.4,102,,252.7,,,10.3,,,,0
2409,,,,,no,,,,26.95,,,25.05,,116,6.58,,,,0,0
2410,,49,,,,0,,69,,,,,214.4,,,,7,,2,0
2411,,113,,,no,,,,41.7,,,,,,9.19,,2,,,1
2412,,130,,no,,0,,,,200.1,115,17.01,,,,,,3.35,1,0
2413,,101,415,,no,,136.2,,23.15,220.9,,18.78,,,8.86,,,3.59,,0
2414,OR,,,,,0,,,2.13,,,21.81,,,,,,,,0
2415,,,408,no,yes,,80.2,,,,,,,,,,2,,,0
2416,OK,,,,no,0,,,31.96,,,,,64,,,,4.13,,0
2417,ID,,,no,,,,139,,280.9,90,,,75,4.02,,,,1,0
2418,CO,,,yes,,21,,99,25.76,,,,210.4,,,,4,2.7,,0
2419,AZ,67,415,,,,,,35.82,,86,18.63,179.7,,8.09,7.2,,1.94,1,0
2420,SC,,415,,no,,309.4,,,,98,,197.1,116,,,,,,1
2421,,,415,,,0,,112,20.77,131.7,,,,106,,10.3,,,5,1
2422,AL,106,,,no,,223,121,,,,,,107,,,,,,0
2423,,44,,yes,,,,92,,,82,,138.7,108,6.24,10.8,,,,0
2424,,78,,,,28,,136,,,,,,99,,4,,1.08,,0
2425,,,,,yes,40,,105,,,,,,110,,9.2,,,,0
2426,,102,,no,yes,29,214.7,,,,,26.72,,,,14.3,2,,,0
2427,,108,,,,,,129,,,,,170.2,89,,,3,,,0
2428,,,415,no,,,,,24.57,,,,226,94,10.17,17,,4.59,2,0
2429,,,,no,,0,,,,,95,,,,,6.9,2,1.86,,0
2430,MS,,,,,,,123,,155.8,,13.24,256.9,,11.56,9.2,,,,1
2431,MN,,510,,yes,,,,,,96,20.92,,92,,,3,,,0
2432,OR,157,,,yes,,194.3,107,33.03,243.2,,,,114,14.5,,,,1,0
2433,,94,415,,no,0,,98,,,,,,,12.95,6.6,5,1.78,1,0
2434,OK,176,408,no,,0,47.4,125,8.06,167.8,90,14.26,,,,,,,,0
2435,,,,,yes,,211.1,,,,,19,,,,9.7,,2.62,2,0
2436,TX,87,,no,,,169.1,,28.75,169.9,,14.44,,,11.02,,,,3,0
2437,,,408,no,yes,38,,92,,,93,,,108,,,6,,,0
2438,OH,,,,,,152.3,,,,102,,266.9,,12.01,,,,7,0
2439,,,510,,yes,36,,,,,,,,,,,,4.43,,0
2440,,,415,no,no,,139.4,,23.7,,,13.52,128.2,129,,,,,,0
2441,NE,,,,no,0,,74,,126.9,,,221.2,,,,4,2.38,0,0
2442,KY,,415,yes,no,0,,114,,,,,,67,,,,2.84,,0
2443,,124,,no,,,,134,32.52,,113,22.23,,,,,,,1,0
2444,NC,,,no,,,,86,,167.8,,14.26,,,9.32,,8,,,0
2445,AK,78,,,,0,,67,,,,,,102,,14.6,,,0,0
2446,,,,yes,yes,21,,,,,,22.34,202,,9.09,,,,,0
2447,,,,no,no,0,,,33.34,296.5,,25.2,211.5,91,,,2,,1,0
2448,,,,yes,,0,62.8,124,,170.4,,,,,12.61,,4,,3,0
2449,SD,,408,no,,,,,36.43,250.1,,,,,,,,2.86,,0
2450,MO,92,415,no,,0,154,122,,329.8,88,,288,117,,5.6,2,,3,1
2451,,127,,no,,,,,31.14,126.8,76,10.78,263.3,,11.85,,8,3.02,,0
2452,OK,,415,,,0,145.9,,,208.2,,17.7,,,,,10,3.89,,1
2453,,,415,,,,,118,42.28,,73,,191.9,,,,2,,1,1
2454,,,415,no,no,,,,,,,,222.7,,,,,,,0
2455,DE,,,,,,,98,,,85,,,,,9,3,,,0
2456,NY,,408,,no,,,,27.27,,,8.72,,106,10.59,,5,,,0
2457,MN,,415,,,,157.1,90,,223.3,,,,,8.16,,2,,1,0
2458,KS,,408,no,,,205.9,,35,209.3,,,289.9,,,,,3.92,2,0
2459,NY,11,415,,no,,,130,,,50,,,,,9.7,,2.62,,0
2460,,65,,,,29,,129,,,,13.76,,,,8.8,5,2.38,,0
2461,RI,113,,no,,0,,,,,100,14.5,,74,6.18,5.4,,1.46,,0
2462,,66,,,,,,133,,,,16.91,151.9,100,,,3,2.57,4,1
